id,time,x,y,z
181,"2012-11-19 15:58:27",1785,217,2
182,"2012-11-19 15:58:27",1785,217,2
183,"2012-11-19 15:58:27",1785,217,2
184,"2012-11-19 15:58:27",1785,217,2
185,"2012-11-19 15:58:27",1785,217,2
186,"2012-11-19 15:58:27",1785,217,2
187,"2012-11-19 15:58:27",1785,217,2
188,"2012-11-19 15:58:27",1785,217,2
189,"2012-11-19 15:58:27",1785,217,2
190,"2012-11-19 15:58:27",1785,217,2
191,"2012-11-19 15:58:27",1785,217,2
192,"2012-11-19 15:58:27",1785,217,2
193,"2012-11-19 15:58:27",1785,217,2
194,"2012-11-19 15:58:27",1785,217,2
195,"2012-11-19 15:58:27",1785,217,2
196,"2012-11-19 15:58:27",1785,217,2
197,"2012-11-19 15:58:27",1785,217,2
198,"2012-11-19 15:58:27",1785,217,2
199,"2012-11-19 15:58:27",1785,217,2
200,"2012-11-19 15:58:27",1785,217,2
201,"2012-11-19 15:58:47",1749,217,2
202,"2012-11-19 15:58:47",1749,217,2
203,"2012-11-19 15:58:47",1749,217,2
204,"2012-11-19 15:58:47",1749,217,2
205,"2012-11-19 15:58:47",1749,217,2
206,"2012-11-19 15:58:47",1749,217,2
207,"2012-11-19 15:58:47",1749,217,2
208,"2012-11-19 15:58:47",1749,217,2
209,"2012-11-19 15:58:47",1749,217,2
210,"2012-11-19 15:58:47",1749,217,2
211,"2012-11-19 15:58:47",1749,217,2
212,"2012-11-19 15:58:47",1749,217,2
213,"2012-11-19 15:58:47",1749,217,2
214,"2012-11-19 15:58:47",1749,217,2
215,"2012-11-19 15:58:47",1749,217,2
216,"2012-11-19 15:58:47",1749,217,2
217,"2012-11-19 15:58:47",1749,217,2
218,"2012-11-19 15:58:47",1749,217,2
219,"2012-11-19 15:58:47",1749,217,2
220,"2012-11-19 15:58:47",1749,217,2
301,"2012-11-19 15:59:29",1713,217,2
302,"2012-11-19 15:59:29",1713,217,2
303,"2012-11-19 15:59:29",1713,217,2
304,"2012-11-19 15:59:29",1713,217,2
305,"2012-11-19 15:59:29",1713,217,2
306,"2012-11-19 15:59:29",1713,217,2
307,"2012-11-19 15:59:29",1713,217,2
308,"2012-11-19 15:59:29",1713,217,2
309,"2012-11-19 15:59:29",1713,217,2
310,"2012-11-19 15:59:29",1713,217,2
311,"2012-11-19 15:59:29",1713,217,2
312,"2012-11-19 15:59:29",1713,217,2
313,"2012-11-19 15:59:29",1713,217,2
